transaction_id,timestamp,terminal_id,amount,currency,status,response_code,error_message
TX-1001,2026-08-31T06:05:15,ATM-001,120000,COP,APPROVED,00,
TX-1002,2026-08-31T06:18:47,ATM-014,300000,COP,APPROVED,00,
TX-1003,2026-08-31T06:37:08,ATM-006,80000,COP,APPROVED,00,
TX-1004,2026-08-31T07:02:23,ATM-021,450000,COP,APPROVED,00,
TX-1005,2026-08-31T07:16:58,ATM-009,200000,COP,APPROVED,00,
TX-1006,2026-08-31T07:45:34,ATM-018,600000,COP,APPROVED,00,
TX-1007,2026-08-31T08:03:14,ATM-003,150000,COP,APPROVED,00,
TX-1008,2026-08-31T08:22:51,ATM-025,100000,COP,APPROVED,00,
TX-1009,2026-08-31T08:51:30,ATM-011,350000,COP,APPROVED,00,
TX-1010,2026-08-31T09:14:12,ATM-007,500000,COP,APPROVED,00,
TX-1011,2026-08-31T09:39:56,ATM-016,90000,COP,APPROVED,00,
TX-1012,2026-08-31T10:07:38,ATM-005,250000,COP,APPROVED,00,
TX-1013,2026-08-31T10:29:20,ATM-023,700000,COP,APPROVED,00,
TX-1014,2026-08-31T10:58:45,ATM-012,180000,COP,APPROVED,00,
TX-1015,2026-08-31T11:23:13,ATM-002,400000,COP,APPROVED,00,
TX-1016,2026-08-31T11:47:59,ATM-019,220000,COP,APPROVED,00,
TX-1017,2026-08-31T12:15:32,ATM-008,550000,COP,APPROVED,00,
TX-1018,2026-08-31T12:42:07,ATM-024,130000,COP,APPROVED,00,
TX-1023,2026-08-31T14:43:36,ATM-014,280000,COP,REJECTED,91,Emisor no disponible
TX-1024,2026-08-31T15:09:21,ATM-007,650000,COP,FAILED,68,"Timeout de red, no se recibió confirmación"
TX-1025,2026-08-31T15:35:02,ATM-021,110000,COP,REJECTED,05,Transacción no autorizada por el Switch
TX-1026,2026-08-31T16:02:49,ATM-011,450000,COP,APPROVED,00,
TX-1027,2026-08-31T16:28:17,ATM-003,240000,COP,APPROVED,00,
TX-1028,2026-08-31T16:51:44,ATM-018,360000,COP,APPROVED,00,
TX-1029,2026-08-31T17:17:29,ATM-005,190000,COP,PENDING,09,Procesamiento en curso
TX-1030,2026-08-31T17:46:12,ATM-010,420000,COP,FAILED,91,Emisor no disponible
TX-1031,2026-08-31T18:08:57,ATM-025,1000000,COP,APPROVED,00,
TX-1032,2026-08-31T18:37:18,ATM-013,140000,COP,REJECTED,05,Transacción no autorizada
TX-1033,2026-08-31T19:03:50,ATM-004,270000,COP,APPROVED,00,
TX-1034,2026-08-31T19:29:36,ATM-017,330000,COP,APPROVED,00,
TX-1035,2026-08-31T20:01:22,ATM-020,210000,COP,APPROVED,00,
TX-1036,2026-08-31T20:26:45,ATM-006,580000,COP,APPROVED,00,
TX-1036,2026-08-31T20:26:48,ATM-006,580000,COP,APPROVED,00,Registro duplicado recibido por reintento
TX-1037,2026-08-31T20:44:09,ATM-022,260000,COP,APPROVED,00,Sin registro correspondiente en Core
TX-1038,2026-08-31T21:02:31,ATM-015,390000,COP,APPROVED,00,Sin registro correspondiente en Core
