transaction_id,timestamp,account_id,amount,currency,status,response_code
TX-1001,2026-08-31T06:05:12,****4521,120000,COP,APPROVED,00
TX-1002,2026-08-31T06:18:43,****8834,300000,COP,APPROVED,00
TX-1003,2026-08-31T06:37:05,****1907,80000,COP,APPROVED,00
TX-1004,2026-08-31T07:02:19,****6275,450000,COP,APPROVED,00
TX-1005,2026-08-31T07:16:54,****3148,200000,COP,APPROVED,00
TX-1006,2026-08-31T07:45:30,****7712,600000,COP,APPROVED,00
TX-1007,2026-08-31T08:03:11,****5086,150000,COP,APPROVED,00
TX-1008,2026-08-31T08:22:47,****9254,100000,COP,APPROVED,00
TX-1009,2026-08-31T08:51:26,****2401,350000,COP,APPROVED,00
TX-1010,2026-08-31T09:14:08,****6639,500000,COP,APPROVED,00
TX-1011,2026-08-31T09:39:52,****1473,90000,COP,APPROVED,00
TX-1012,2026-08-31T10:07:34,****8062,250000,COP,APPROVED,00
TX-1013,2026-08-31T10:29:16,****5390,700000,COP,APPROVED,00
TX-1014,2026-08-31T10:58:41,****4127,180000,COP,APPROVED,00
TX-1015,2026-08-31T11:23:09,****9751,400000,COP,APPROVED,00
TX-1016,2026-08-31T11:47:55,****2864,220000,COP,APPROVED,00
TX-1017,2026-08-31T12:15:28,****7308,550000,COP,APPROVED,00
TX-1018,2026-08-31T12:42:03,****1649,130000,COP,APPROVED,00
TX-1019,2026-08-31T13:04:37,****8915,320000,COP,APPROVED,00
TX-1020,2026-08-31T13:31:22,****3476,480000,COP,APPROVED,00
TX-1021,2026-08-31T13:56:49,****6043,750000,COP,APPROVED,00
TX-1022,2026-08-31T14:18:06,****2198,160000,COP,APPROVED,00
TX-1023,2026-08-31T14:43:31,****7584,280000,COP,APPROVED,00
TX-1024,2026-08-31T15:09:17,****4352,650000,COP,APPROVED,00
TX-1025,2026-08-31T15:34:58,****9820,110000,COP,APPROVED,00
TX-1026,2026-08-31T16:02:44,****5731,500000,COP,APPROVED,00
TX-1027,2026-08-31T16:28:13,****1265,240000,COP,REVERSED,R0
TX-1028,2026-08-31T16:51:39,****8457,360000,COP,APPROVED,00
TX-1028,2026-08-31T16:51:42,****8457,360000,COP,APPROVED,00
TX-1029,2026-08-31T17:17:25,****3914,190000,COP,PENDING,09
TX-1030,2026-08-31T17:46:07,****6702,420000,COP,FAILED,91
TX-1031,2026-08-31T18:08:53,****2089,1000000,COP,APPROVED,00
TX-1032,2026-08-31T18:37:14,****9546,140000,COP,REJECTED,05
TX-1033,2026-08-31T19:03:46,****4813,270000,COP,APPROVED,00
TX-1034,2026-08-31T19:29:32,****7160,330000,COP,APPROVED,00
TX-1035,2026-08-31T20:01:18,****2357,210000,COP,APPROVED,00
TX-1036,2026-08-31T20:26:41,****8691,580000,COP,APPROVED,00
