transferencia_id,fecha_hora,cliente_id,monto,moneda,entidad_destino_id,estado
TRX-0001,2026-09-02T14:00:00Z,CLI-001,320000000,COP,ENT-101,Solicitada
TRX-0002,2026-09-02T14:01:00Z,CLI-002,850000000,COP,ENT-102,Solicitada
TRX-0003,2026-09-02T14:02:00Z,CLI-003,210000000,COP,ENT-103,Solicitada
TRX-0004,2026-09-02T14:03:00Z,CLI-004,65000000,COP,ENT-108,En validación
TRX-0005,2026-09-02T14:04:00Z,CLI-005,450000000,COP,ENT-104,Solicitada
TRX-0006,2026-09-02T14:05:00Z,CLI-006,150000000,COP,ENT-105,Programada
TRX-0007,2026-09-02T14:06:00Z,CLI-007,25000000,COP,ENT-101,Solicitada
TRX-0008,2026-09-02T14:07:00Z,CLI-008,220000000,COP,ENT-106,Solicitada
TRX-0009,2026-09-02T14:08:00Z,CLI-009,600000000,COP,ENT-112,Programada
TRX-0010,2026-09-02T14:09:00Z,CLI-010,80000000,COP,ENT-109,En validación
TRX-0011,2026-09-02T14:10:00Z,CLI-011,230000000,COP,ENT-110,Solicitada
TRX-0012,2026-09-02T14:11:00Z,CLI-012,900000000,COP,ENT-111,Solicitada
TRX-0013,2026-09-02T14:12:00Z,CLI-013,55000000,COP,ENT-115,Solicitada
TRX-0014,2026-09-02T14:13:00Z,CLI-014,170000000,COP,ENT-113,Programada
TRX-0015,2026-09-02T14:14:00Z,CLI-015,700000000,COP,ENT-114,Solicitada
TRX-0016,2026-09-02T14:15:00Z,CLI-016,60000000,COP,ENT-119,En validación
TRX-0017,2026-09-02T14:16:00Z,CLI-017,350000000,COP,ENT-118,Solicitada
TRX-0018,2026-09-02T14:17:00Z,CLI-018,1300000000,COP,ENT-117,Solicitada
TRX-0019,2026-09-02T14:18:00Z,CLI-019,40000000,COP,ENT-110,Solicitada
TRX-0020,2026-09-02T14:19:00Z,CLI-020,250000000,COP,ENT-101,Programada
TRX-0021,2026-09-02T14:20:00Z,CLI-021,210000000,COP,ENT-120,Solicitada
TRX-0022,2026-09-02T14:21:00Z,CLI-022,55000000,COP,ENT-111,En validación
TRX-0023,2026-09-02T14:22:00Z,CLI-023,500000000,COP,ENT-116,Solicitada
TRX-0024,2026-09-02T14:23:00Z,CLI-024,1800000000,COP,ENT-114,Solicitada
TRX-0025,2026-09-02T14:24:00Z,CLI-025,95000000,COP,ENT-108,Programada
TRX-0026,2026-09-02T14:25:00Z,CLI-026,135000000,COP,ENT-109,Solicitada
TRX-0027,2026-09-02T14:26:00Z,CLI-027,400000000,COP,ENT-117,Solicitada
TRX-0028,2026-09-02T14:27:00Z,CLI-028,50000000,COP,ENT-115,En validación
TRX-0029,2026-09-02T14:28:00Z,CLI-029,650000000,COP,ENT-106,Solicitada
TRX-0030,2026-09-02T14:29:00Z,CLI-030,1100000000,COP,ENT-118,Solicitada
TRX-0031,2026-09-02T14:30:00Z,CLI-001,100000000,COP,ENT-901,Solicitada
TRX-0032,2026-09-02T14:31:00Z,CLI-005,1000000000,COP,ENT-902,Programada
TRX-0033,2026-09-02T14:32:00Z,CLI-010,90000000,COP,ENT-903,Solicitada
TRX-0034,2026-09-02T14:33:00Z,CLI-024,250000000,COP,ENT-904,En validación
TRX-0035,2026-09-02T14:34:00Z,CLI-002,150000000,COP,ENT-112,Solicitada
TRX-0036,2026-09-02T14:35:00Z,CLI-003,75000000,COP,ENT-119,Solicitada
TRX-0037,2026-09-02T14:36:00Z,CLI-006,200000000,COP,ENT-117,Programada
TRX-0038,2026-09-02T14:37:00Z,CLI-004,30000000,COP,ENT-102,Solicitada
TRX-0039,2026-09-02T14:38:00Z,CLI-015,49000000,COP,ENT-117,En validación
TRX-0040,2026-09-02T14:39:00Z,CLI-023,45000000,COP,ENT-104,Solicitada
